Image File,Disabled parking spots,Parking spots,Cars,Empty disabled parking spots,Occupied disabled parking spots,Empty parking spots,Occupied parking spots,Cars in transit or parked in non-parking spots
empty_set1_60m_1.jpg,20,70,0,20,0,70,0,0
empty_set1_60m_2.jpg,20,70,0,20,0,70,0,0
empty_set1_65m_1.jpg,22,77,0,22,0,77,0,0
empty_set1_70m_2.jpg,22,77,0,22,0,77,0,0
empty_set1_75m_1.jpg,22,77,0,22,0,77,0,0
empty_set2_30m_2.jpg,0,32,0,0,0,32,0,0
empty_set2_30m_3.jpg,0,40,0,0,0,40,0,0
empty_set2_70m_1.jpg,2,147,0,2,0,147,0,0
empty_set2_70m_2.jpg,4,145,0,4,0,145,0,0
occupied_set1_30m_1.jpg,8,16,0,8,0,16,0,0
occupied_set1_30m_2.jpg,8,16,0,8,0,16,0,0
occupied_set1_40m_1.jpg,7,49,0,7,0,49,0,0
occupied_set1_50m_1.jpg,16,56,0,16,0,56,0,0
occupied_set1_50m_2.jpg,16,56,0,16,0,56,0,0
occupied_set1_60m_1.jpg,20,70,0,20,0,70,0,0
occupied_set1_70m_1.jpg,22,77,0,22,0,77,0,0
occupied_set1_70m_2.jpg,22,77,0,22,0,77,0,0
occupied_set2_30m_1.jpg,0,44,0,0,0,44,0,0
occupied_set2_30m_2.jpg,0,44,0,0,0,44,0,0
occupied_set2_40m_1.jpg,0,80,0,0,0,80,0,0
occupied_set2_50m_1.jpg,0,95,0,0,0,95,0,0
occupied_set2_60m_1.jpg,2,113,0,2,0,113,0,0
occupied_set2_70m_1.jpg,2,144,0,2,0,144,0,0
